,BookID,Price,DiscountPercentage,Exists,EarliestDeliveryDate
0,22348,1600,-1,False,---
1,30294,65000,-1,False,---
2,8539,3500,-1,False,---
3,11165,45000,-1,False,---
4,8553,9000,-1,False,---
5,30297,20000,-1,False,---
6,22362,19800,-1,False,---
7,62932,41000,30,True,9 مهر
8,116006,125000,20,True,9 مهر
9,102596,300000,20,True,9 مهر
10,13470,15000,-1,False,---
11,3947,15000,-1,False,---
12,16886,22000,-1,False,---
13,8566,25000,-1,False,---
14,41428,35000,10,True,9 مهر
15,19783,65000,-1,False,---
16,12877,550000,15,True,9 مهر
17,12878,500000,15,True,9 مهر
18,22365,1900,-1,False,---
19,32296,220000,25,True,9 مهر
20,27559,5500,-1,False,---
21,24976,18000,-1,False,---
22,30321,45000,-1,False,---
23,53291,150000,30,True,9 مهر
24,75484,20000,30,True,9 مهر
25,93204,40000,20,True,9 مهر
26,22096,88500,20,True,9 مهر
27,2030,165000,15,True,9 مهر
28,3806,195000,20,True,10 مهر
29,43378,45000,15,True,10 مهر
30,76666,195000,30,True,10 مهر
31,3808,140000,20,True,12 مهر
32,95539,188000,30,True,12 مهر
33,98237,320000,40,True,12 مهر
34,119480,250000,30,True,12 مهر
35,84,130000,-1,False,---
36,30296,80000,-1,False,---
37,98234,98000,-1,False,---
38,116009,125000,20,True,9 مهر
39,62952,109000,20,True,9 مهر
40,102597,590000,20,True,9 مهر
41,19784,69000,-1,False,---
42,27563,14000,-1,False,---
43,32325,15000,30,True,9 مهر
44,12890,350000,15,True,9 مهر
45,41459,24000,20,True,9 مهر
46,61163,43000,30,True,9 مهر
47,93206,45000,20,True,9 مهر
48,22367,10500,-1,False,---
49,13479,11000,-1,False,---
50,30325,37500,-1,False,---
51,16887,22000,-1,False,---
52,75516,30000,20,True,9 مهر
53,3951,40000,-1,False,---
54,22104,25000,20,True,9 مهر
55,24982,5000,-1,False,---
56,8568,12000,-1,False,---
57,132,3350000,25,True,9 مهر
58,62955,58000,30,True,9 مهر
59,116016,220000,15,True,9 مهر
60,19785,69000,-1,False,---
61,53295,400000,30,True,9 مهر
62,41513,220000,10,True,9 مهر
63,32329,120000,30,True,9 مهر
64,102598,630000,20,True,9 مهر
65,12893,250000,15,True,9 مهر
66,27567,22000,-1,False,---
67,22368,41900,-1,False,---
68,13484,9900,-1,False,---
69,93261,99000,10,True,9 مهر
70,30330,20000,-1,False,---
71,102603,120000,20,True,9 مهر
72,16889,8000,-1,False,---
73,63037,70000,30,True,9 مهر
74,79891,80000,25,True,10 مهر
75,116167,160000,20,True,9 مهر
76,22106,25000,20,True,9 مهر
77,8579,11900,-1,False,---
78,19786,99000,-1,False,---
79,31843,105000,25,True,10 مهر
80,3953,10000,-1,False,---
81,18427,25000,-1,False,---
82,32824,22000,-1,False,---
83,41559,950000,25,True,9 مهر
84,32354,75000,30,True,9 مهر
85,27568,4700,-1,False,---
86,13902,320000,25,True,12 مهر
87,133,350000,25,True,9 مهر
88,53332,385000,30,True,9 مهر
89,75595,270000,15,True,9 مهر
90,12908,68000,15,True,9 مهر
91,22374,17500,-1,False,---
92,24993,6500,25,True,9 مهر
93,24996,6500,25,True,9 مهر
94,24990,6500,25,True,12 مهر
95,24995,6500,25,True,10 مهر
96,24986,6500,-1,False,---
97,24988,6500,-1,False,---
98,24992,6500,-1,False,---
99,93284,40000,20,True,9 مهر
100,13485,23900,-1,False,---
101,102611,290000,30,True,9 مهر
102,16891,25000,-1,False,---
