,title,rating,price
0,کتاب سانتاماریا,5.0,9000
1,کتاب انفاق,5.0,10000
2,کتاب چهل عاشقانه سرگردان,5.0,28000
3,کتاب سفر به انتهای شب سلین,4.8,30000
4,کتاب گورکن ها گریه هایشان را عمیق تر حفر میکنند,4.67,8000
5,کتاب هنر و مالتیتود,4.67,24000
6,کتاب مانیفست یک فمینیست در پانزده پیشنهاد,4.56,25000
7,کتاب نامه ای به یک دوست قدیمی,4.5,4000
8,کتاب تو را معراجی بر نی,4.5,6000
9,کتاب تکاثر,4.5,10000
10,کتاب به جای چندین بار خواستگاری رفتن چندین بار این کتاب را بخوانید,4.5,29000
11,کتاب به سپیدی یک رویا,4.42,32000
12,کتاب دریای خاکستری,4.33,12000
13,کتاب اسنیچ های با ستاره و اسنیچ های بی ستاره,4.31,22000
14,کتاب این گفت و سخن ها...,4.29,30000
15,کتاب بابامومین در دریا,4.28,9900
16,کتاب مجمع الجزایر رویا,4.28,18000
17,کتاب مثبت,4.28,34000
18,کتاب اخلاص,4.26,10000
19,کتاب پایان تنهایی,4.26,32000
20,کتاب هزار و چند شب لیالی,4.25,13000
21,کتاب خانه ماتریونا,4.25,20000
22,کتاب دشت های سوزان,4.24,23000
23,کتاب خاطره ای از کریسمس,4.24,25000
24,کتاب میک هارته این جا بود,4.23,30000
25,دنبال قلبت برو,4.22,18000
26,کتاب خرسی به نام پدینگتن,4.22,22000
27,کتاب یک عالم با شما حرف دارم,4.22,30000
28,کتاب آرامش برون،آتش درون,4.21,9000
29,کتاب روی پله های کنسرواتور,4.21,10000
30,کتاب آشپز خانه خانم گیلاس,4.21,15000
31,کتاب فروخته شده,4.2,14900
32,کتاب لطفا رنج نکشید,4.2,20000
33,کتاب شش قطعه آسان,4.2,33000
34,کتاب بادبزن کاغذی,4.18,20000
35,کتاب هرگز نیفت,4.17,15000
36,کتاب گیرنده شناخته نشد,4.16,35000
37,کتاب نکروپلیس,4.14,23000
38,کتاب دوزخ,4.13,30000
39,کتاب رازی در میان نیست,4.12,28000
40,کتاب پسران سالخورده,4.12,29000
41,کتاب لوته و همتایش,4.11,20000
42,کتاب چمدان پدرم,4.1,17000
43,کتاب روایت نابودی ناب,4.1,18000
44,کتاب سقوط مردی از آسمان به چه معناست؟,4.1,24000
45,کتاب نامه ای به دخترم,4.09,30000
46,کتاب لوتای آتش پاره 1,4.08,14000
47,کتاب پیتر پن,4.08,15000
48,کتاب آخرین بار کی دیدیش؟,4.08,26000
49,کتاب دعای دریا,4.08,28000
50,کتاب سوپ ماهی,4.07,8000
51,کتاب چرا روانکاوی,4.07,24000
52,کتاب مسجد پروانه,4.06,12000
53,کتاب هنری زلزله در جشن تولد,4.06,28000
54,کتاب هنری زلزله و شپش هایش,4.06,28000
55,کتاب مادام پیلینسکا و راز شوپن,4.06,28000
56,کتاب یک سیخ گلابی جانانه,4.05,12000
57,کتاب کتاب اشتیاق,4.05,15000
58,کتاب هنری زلزله و ماشین زمان,4.05,16000
59,کتاب هنری زلزله و پرستار لولو خورخوره,4.05,20000
