,BookID,PersonID
0,8553,5421
1,22362,3353
2,3947,2613
3,16886,4888
4,32296,3110
5,24976,3776
6,75484,12234
7,22096,08fb4ef2396a67f62139adc5941a28c9
8,2030,16
9,3806,2549
10,3806,2550
11,43378,1124
12,76666,4110
13,3808,407347573f1949956ff731a165d49f29
14,95539,51320
15,98237,49327
16,119480,8028
17,84,fe45c358aa56a9987f912b88a02472ee
18,30296,17570
19,98234,49327
20,62952,34451
21,41459,445
22,61163,4784
23,22367,253
24,13479,7893
25,30325,14215
26,16887,4888
27,75516,12234
28,3951,574
29,22104,606
30,24982,4419
31,132,270
32,116016,3770
33,27567,15869
34,22368,13097
35,30330,9937
36,63037,2977
37,79891,25283
38,116167,3690
39,22106,606
40,8579,2333
41,31843,4133
42,3953,4133
43,18427,3072
44,32824,2480
45,41559,6795
46,13902,2638
47,133,217
48,53332,3274
49,53332,711cf8fbd109dee98529cb199cf55aea
50,12908,210
51,22374,2605
52,93284,16068
53,30338,2454
54,63038,24698
55,75616,31863
56,75616,11196
57,3957,4134
58,22129,429
59,16899,9858
60,73592,2511
61,13527,937
62,146,176
63,3512,3129
64,60432,33244
65,27572,660
66,41569,23694
67,30340,1013
68,63048,34501
69,96782,31863
70,96782,5802
71,24994,efdbc33cbf0797a2e9b375946c12a616
72,53372,29828
73,8617,620
74,75619,31863
75,75619,6ce3294065bed0b1dc798c52b9b01a29
76,41570,2702
77,22137,584
78,22380,606
79,16902,9859
80,16904,4500
81,30354,1040
82,191,263
83,12978,5247
84,12976,821
85,50247,4145
86,3963,4145
87,13170,4145
88,13551,379
89,90559,6641
90,116269,49845
91,75620,31863
92,75620,6303
93,41580,23745
94,8652,189
95,16917,fd29e3c02a4d721525ae6a429f9bc081
96,3966,4146
97,12979,192
98,24999,4429
99,75621,31863
100,75621,5607
101,47374,4191
102,64165,1178
103,119247,17014
104,30357,2630
105,22165,6865
106,3281,217
107,198,288
108,3280,3951
109,116274,660
110,13562,947
111,8656,2258
112,22383,13097
113,3970,4143
114,93346,32852
115,53499,17055
116,41609,23792
117,30360,9937
118,12998,211
119,22190,4108
120,63097,10113
121,202,286
122,2004,196
123,3599,2384
124,8669,2644
125,75627,31863
126,75627,5607
127,22384,9596
128,116321,880
129,106198,18232
130,3988,1030
131,53510,19791
132,53510,15991
133,63098,6041
134,13003,2765
135,29826,2765
136,25020,6714
137,41614,10863
138,75630,31863
139,75630,e086652be164b2ff9f1b4eb842d33de2
140,223,210
141,22393,5830
142,30363,17625
143,4000,4153
144,4044,4153
145,4045,4153
146,4046,4153
147,13578,7942
148,19816,4a9b2ad6b61786b2388d93e5386186c8
149,63106,14731
150,13007,384
151,32435,18777
152,41648,3274
153,41648,4900
154,116361,24526
155,30365,4082
156,62623,277
157,62623,3020
158,242,208
159,22394,7495
160,75631,31863
161,75631,5607
162,63113,e5cc2f6a69bb950546b8b427925cb10d
163,8721,353
164,22213,13040
165,102656,515
166,4009,1143
167,25022,56280b2737cfb7c8b3b65dd0cf73e802
168,13611,7959
169,4010,1143
170,273,174
171,75633,31863
172,75633,507
173,27619,8560
174,8727,5462
175,22395,4336
176,27142,8451
177,53578,5448
178,13628,762fa02040332fa2032c8a4c7016ea3a
179,21721,4282
180,32513,18810
181,92669,1013
182,4023,660
183,82698,50930
184,4022,4175
185,4024,2375
186,13632,223
187,22667,223
188,281,382
189,281,383
190,22245,13063
191,75635,31863
192,75635,5607
193,25028,473
194,63122,29273
195,4025,660
196,32514,18810
197,32202,18710
198,27270,8746
199,16959,6194
200,13635,277
201,49244,2604
202,19845,2604
203,8750,2650
204,8750,5466
205,14053,330
206,14054,739
207,300,160
208,87560,330
209,22250,253
210,4064,1040
211,63125,29273
212,53608,29990
213,30401,337
214,32516,3204
215,13643,4027
216,22409,862
217,302,414
218,8754,4492
219,22279,429
220,17022,9937
221,105982,2733
222,27645,16082
223,63139,7824
224,13151,2826
225,22411,862
226,32517,18816
227,4082,1006
228,8756,3794
229,13644,957
230,75764,660
231,23132,466
232,23133,466
233,23134,466
234,23134,1093
235,344,1093
236,344,466
237,41948,3829
238,98355,4006
239,25094,4006
240,30420,8f49e4198910888dfc257876277f84ac
241,17029,9942
242,22285,13090
243,358,457
244,13173,7736
245,93488,4203
246,25095,7280
247,22413,3342
248,4085,2756
249,4086,4196
250,32519,2639
251,35776,61f4cfb8b9c5922d2ac3fbde03786d00
252,30450,17667
253,22333,8341
254,380,176
255,3470,51010d7684df647de2a4c7f758c10885
256,3469,47720257e869f1cb0bba2e1feb1f12f9
257,75803,21990
258,104901,31863
259,104901,7fb4a7de23dd48b38e63fd491e3a47f6
260,93496,18163
261,93496,a6d09e2a09c8a94f3507653fb6d8821f
262,25107,8228
263,22416,239
264,63160,4748
265,8761,2227
266,17042,5300
267,43092,1006
268,4089,1006
269,27652,1090
270,396,525
271,95045,525
272,93498,49838
273,75828,4244
274,53618,10414
275,22357,5596
276,102789,2244
277,17056,5731
278,19884,11461
279,30019,2365
280,4096,4202
281,30456,660
282,398,411
283,25115,157
284,112968,45814
285,13686,2317
286,102795,28391
287,415,545
288,42523,45d30ed6d1267fa52080114ebbb1c8ca
289,4100,775
290,4113,3154
291,4113,3155
292,19900,9385
293,63435,2344
294,30469,3274
295,17057,207
296,22422,2634
297,102813,55346
298,22404,12850
299,25124,3239
300,54063,15423
301,74806,24060
302,52222,24060
303,473,616
304,30703,a8b5dd75dadcf3dcd11e62027ad800d1
305,4111,1305ae7f09c2cafc8cac875b2c57054f
306,19915,616
307,93567,29273
308,30472,12594
309,96443,51938
310,117435,12473
311,17077,157
312,490,646
313,53630,10414
314,27658,b86faca0b34ebc63f7e2f1338b597255
315,25128,3274
316,25128,5060
317,42352,2881
318,19920,11262
319,102824,8384
320,4121,3105
321,4108,c49aec10f57146aec41e383a021a5f66
322,22425,253
323,93568,9372
324,30477,4cd277719a0d9e7db4bcef8e327222cd
325,17078,157
326,13696,51a61db7e8159b2e21d8519b8f353e3b
327,25130,473
328,63346,20995
329,88787,2415
330,106100,9017
331,89370,41e96b2b700eaaba3db910cb2944fc96
332,1831,2383
333,505,2383
334,40295,18679
335,42467,20946
336,102825,3401
337,93611,27701
338,19921,11262
339,75962,13931
340,22431,378
341,117463,2444
342,30483,8557
343,30483,13846
344,4117,1007
345,4117,3990
346,4126,875e50dcd83a411eddc11a87b000d1ad
347,17079,157
348,13698,8011
349,538,709
350,53632,9420
