,tag_id,tag_name_english,tag_name_persian,tag_num
0,103,fiction,ادبیات داستانی,29230
1,539,comic,کتاب مصور,18890
2,590,educational,آموزشی,9884
3,327,psychology,روانشناسی,8232
4,346,religious,دینی و مذهبی,6290
5,291,philosophy,فلسفی,6188
6,300,historical,تاریخی,6019
7,377,self,خودپروری,4961
8,292,politics,سیاسی,4548
9,356,short,داستان کوتاه,4460
10,133,biography,زندگی نامه,4252
11,294,poem,شعر,4252
12,337,artistic,هنری,3763
13,301,scientific,علمی,3716
14,295,literary,نقد ادبی,3443
15,335,business,تجارت و کسب و کار,3236
16,630,cinema,سینما و تئاتر,3131
17,285,dramatic,ادبیات نمایشی,2335
18,353,social,اجتماعی,2312
19,341,economic,اقتصادی,2249
20,382,management,مدیریت,2243
21,514,teaching,تعلیم و تربیت,2233
22,560,compilations,گردآوری و تلفیق,2039
23,293,research,مجموعه مقالات,1861
24,476,sociology,جامعه شناسی,1777
25,660,mysticism,عرفان,1389
26,920,child,روانشناسی کودک,1374
27,506,entertainment,سرگرمی,1298
28,373,cultural,فرهنگی,1253
29,388,health,سلامت,1198
30,408,music,موسیقی,1175
31,580,most,دانستنی ها,1050
32,339,medical,پزشکی,1016
33,471,spirituality,معنویت,1008
34,286,women,زنان و فمنیسم,951
35,126,autobiography,خود زندگی نامه,917
36,1280,original,زبان اصلی,840
37,688,natural,محیط زیست,833
38,336,technology,تکنولوژی,796
39,680,art,نقد هنری,795
40,796,persian,ادبیات فارسی,789
41,865,coloring,رنگ آمیزی,781
42,870,research,پژوهشی,777
43,538,sports,ورزشی,772
44,561,interviews,مصاحبه,772
45,681,architecture,معماری,742
46,355,war,جنگی,716
47,833,mathematics,ریاضی,686
48,591,legal,حقوقی,680
49,478,linguistics,زبان شناسی,660
50,593,marriage,ازدواج و زناشویی,623
51,723,political,علوم سیاسی,628
52,629,painting,نقاشی,604
53,971,communications,ارتباطات,587
54,487,reference,کتاب مرجع,574
55,919,animals,حیوانات,554
56,534,leadership,رهبری,538
57,403,romantic,عاشقانه,533
58,352,travelogue,سفرنامه,530
59,1130,computer,علوم کامپیوتر,532
60,784,dictionary,فرهنگ لغت,507
61,486,theology,الهیات,506
62,1004,ritual,ادبیات آیینی,498
63,832,foreign,آموزش زبان خارجی,481
64,379,fantasy,فانتزی,469
65,726,physics,فیزیک,465
66,582,geography,جغرافیا,462
67,1089,marketing,بازاریابی,448
68,551,quotation,جملات قصار,390
69,615,health,بهداشت,370
70,698,productivity,خلاقیت,359
71,967,journals,نشریه,342
72,376,collected,دیوان اشعار ایرانی,337
73,697,biology,زیست شناسی,338
74,699,teaching,نویسندگی,314
75,397,drama,درام,306
76,564,photography,عکاسی,286
77,485,anthropolog,انسان شناسی,286
78,830,chemistry,شیمی,281
79,477,humanities,علوم انسانی,278
80,831,civil,مهندسی عمران,264
81,619,astronomy,نجوم,260
82,1100,agriculture,کشاورزی,258
83,595,cooking,آشپزی,258
84,345,comedy,کمدی,248
85,977,nonfiction,ناداستان,245
86,786,municipal,شهرسازی,239
87,1248,capital,بازار سرمایه - بورس,238
88,375,collections,مجموعه آثار هنری,236
89,1159,designing,طراحی,231
90,484,finance,مالی,220
91,1123,programming,برنامه نویسی,206
92,987,media,رسانه,202
93,834,botany,گیاه شناسی,188
94,371,article,مقاله,182
95,744,anthropology,مردم شناسی,186
96,1105,encyclopedia,دایره المعارف,184
97,854,note,مجموعه یادداشت,181
98,552,letters,مجموعه مکاتبات (نامه ها),177
99,1112,mechanic,مکانیک,179
100,507,lyrics,ترانه,168
101,1118,electrical,مهندسی برق,162
102,378,epic,حماسی,158
103,724,director,کارگردانی,154
104,829,geology,زمین شناسی,155
105,1106,archeology,باستان شناسی,140
106,1120,entrepreneurship,کارآفرینی,137
107,693,neuroscience,علوم اعصاب,135
108,1264,economical,علوم اقتصادی,136
109,894,rulings,احکام,121
110,480,writing,داستان نویسی,108
111,1102,water,مهندسی آب,110
112,374,precious,کتاب های نفیس,107
113,1117,tourism,گردشگری,106
114,1104,veterinary,دامپزشکی,94
115,1108,accounting,حسابداری,84
116,1281,international,روابط بین الملل,81
117,479,semiotics,معناشناسی,70
118,1129,proverb,ضرب المثل,68
119,864,child,تغذیه و تربیت کودک,57
120,334,experimental,علوم تجربی,53
121,837,azerbaijani,ادبیات آذربایجان,48
122,1229,calligraphy,خوشنویسی,45
123,1107,food,صنایع غذایی,45
124,401,an,ماجرایی,41
125,848,illustration,تصویرگری,41
126,1238,literary,نثر ادبی,38
127,1079,metaphysics,متافیزیک,32
128,1116,aquatic,آبزیان,32
129,1284,photo,عکس,32
130,729,literature,ادبیات,29
131,673,textiles,منسوجات,28
132,859,blind,کتابهای نابینایان,27
133,1145,material,مواد و مصالح,26
134,674,interior,دکوراسیون داخلی,25
135,1259,animal,دامپروری,24
136,1103,entomology,حشره شناسی,23
137,1210,pharmacology,داروسازی,23
138,1262,safety,ایمنی,22
139,1101,meteorology,هواشناسی,21
140,793,content,تولید محتوا,20
141,1133,nano,نانو تکنولوژی,15
142,1110,mapping,نقشه برداری,11
143,1226,nursing,پرستاری,8
144,1232,numismatics,سکه شناسی,8
145,1261,employment,آزمون های استخدامی,7
146,792,pseudoscience,شبه علم,5
147,1263,aviation,هوانوردی,5
148,1272,paleontology,دیرینه شناسی,4
149,1277,miniature,مینیاتور,3
150,409,non,ادبیات غیراقتباسی,2
151,1274,marine,علوم دریایی,1
152,1240,organization,مدیریت سازمانی,0
